age,interest,pid,sex,race
52,1,Independent,Male,White
53,2,Repubican,Female,White
38,1,Democrat,Female,White
75,4,Independent,Female,White
77,1,Democrat,Male,White
67,1,Independent,Male,White
130,1,Independent,Female,White
35,1,Democrat,Male,Non-Whte
80,1,Democrat,Male,White
45,1,Independent,Female,Non-Whte
78,1,Repubican,Female,White
36,1,Repubican,Female,White
49,4,Independent,Female,Non-Whte
47,1,Repubican,Female,White
54,2,Repubican,Male,White
66,2,Repubican,Female,White
75,1,Repubican,Female,White
48,1,Repubican,Female,White
43,4,Independent,Male,White
65,1,Repubican,Female,White
19,1,Independent,Male,Non-Whte
27,1,Democrat,Male,Non-Whte
27,1,Democrat,Male,Non-Whte
30,1,Democrat,Male,Non-Whte
61,1,Democrat,Female,White
49,1,Repubican,Female,White
47,1,Repubican,Male,White
36,2,Repubican,Female,White
37,4,Repubican,Female,White
34,3,Repubican,Female,White
49,1,Democrat,Male,White
21,2,Repubican,Male,White
42,1,Democrat,Female,White
55,1,Repubican,Male,White
67,1,Democrat,Male,White
77,1,Repubican,Male,White
19,3,Repubican,Male,White
60,1,Independent,Male,White
49,1,Democrat,Female,White
74,1,Independent,Female,White
22,4,Independent,Female,Non-Whte
47,2,Repubican,Male,White
47,1,Repubican,Male,White
62,1,Democrat,Female,White
43,1,Independent,Male,White
76,1,Repubican,Female,White
49,1,Independent,Female,White
29,1,Repubican,Female,White
42,1,Democrat,Male,White
26,1,Repubican,Female,White
130,1,Repubican,Female,White
52,1,Repubican,Female,White
45,1,Repubican,Male,White
27,3,Democrat,Male,Non-Whte
46,2,Democrat,Female,White
71,1,Independent,Female,White
70,1,Democrat,Male,White
40,2,Democrat,Female,White
62,1,Independent,Male,White
83,1,Repubican,Female,White
18,1,Independent,Female,White
41,2,Repubican,Female,Non-Whte
30,3,Independent,Male,White
48,1,Repubican,Male,White
35,2,Democrat,Female,Non-Whte
82,2,Independent,Male,White
24,1,Repubican,Male,White
50,1,Repubican,Female,Non-Whte
78,1,Repubican,Male,White
130,2,Independent,Female,Non-Whte
47,1,Democrat,Male,White
36,2,Repubican,Female,White
32,2,Democrat,Male,White
35,2,Independent,Female,White
50,2,Democrat,Female,Non-Whte
32,1,Independent,Male,White
33,1,Repubican,Male,White
37,1,Repubican,Male,White
51,2,Democrat,Female,Non-Whte
30,3,Independent,Male,White
74,1,Independent,Female,White
55,1,Independent,Male,White
53,1,Democrat,Male,Non-Whte
89,1,Repubican,Female,White
40,2,Democrat,Female,Non-Whte
55,1,Repubican,Female,White
73,1,Democrat,Male,White
66,1,Independent,Female,Non-Whte
24,2,Independent,Female,White
51,3,Democrat,Male,White
68,2,Repubican,Female,White
50,1,Independent,Male,White
71,3,Repubican,Female,White
72,1,Independent,Male,White
62,1,Democrat,Female,White
50,1,Democrat,Female,White
45,2,Democrat,Female,White
51,1,Democrat,Male,White
27,2,Independent,Female,Non-Whte
61,2,Democrat,Female,White
23,1,Democrat,Female,White
66,4,Independent,Male,White
34,2,Independent,Male,White
57,1,Democrat,Male,White
51,3,Independent,Female,White
